FBtr0079894,CG5853
FBtr0331635,CG5853
FBtr0345615,CG5853
FBtr0347585,CR46254
FBtr0071338,su(r)
FBtr0334508,5-HT7
FBtr0085746,5-HT7
FBtr0085085,CG6330
FBtr0085084,CG6330
FBtr0079304,CG31910
FBtr0079732,CG12438
FBtr0071108,Gclc
FBtr0340139,Gclc
FBtr0071107,Gclc
FBtr0340138,Gclc
FBtr0309839,eIF5B
FBtr0309836,eIF5B
FBtr0309837,eIF5B
FBtr0073144,eIF5B
FBtr0309838,eIF5B
FBtr0075152,CG5290
FBtr0300092,Ste:CG33243
FBtr0073892,CG11581
FBtr0343143,CG11581
FBtr0332630,CG17493
FBtr0332631,CG17493
FBtr0332632,CG17493
FBtr0301268,CG42564
FBtr0085909,CG11630
FBtr0080763,Ku80
FBtr0086733,Spn55B
FBtr0087262,Prosbeta1
FBtr0303232,CG13308
FBtr0344155,Rbcn-3B
FBtr0070316,Rbcn-3B
FBtr0344279,Cad88C
FBtr0076133,CG32085
FBtr0345836,CR45395
FBtr0082259,Irp-1B
FBtr0445477,mir-9385
FBtr0079708,grk
FBtr0330181,Pfdn6
FBtr0074894,Pfdn6
FBtr0308753,CR43411
FBtr0082726,CG7381
FBtr0331429,CG7381
FBtr0331428,CG7381
FBtr0082727,CG7381
FBtr0301219,CG7381
FBtr0088166,Or47b
FBtr0310646,REG
FBtr0073730,REG
FBtr0079724,RpS13
FBtr0346454,RpS13
FBtr0100541,RpS13
FBtr0343865,CG31636
FBtr0079324,CG31636
FBtr0079598,CG7840
FBtr0340432,CR44427
FBtr0081220,CG17549
FBtr0300823,CG17549
FBtr0081221,CG17549
FBtr0310645,CG17549
FBtr0081219,CG17549
FBtr0075314,CG4101
FBtr0347462,CR46162
FBtr0070136,CG5273
FBtr0070137,CG5273
FBtr0070135,CG5273
FBtr0076688,CdsA
FBtr0346546,CdsA
FBtr0302935,CG6621
FBtr0082329,CG6621
FBtr0344017,cana
FBtr0091678,cana
FBtr0344016,cana
FBtr0342985,Gp150
FBtr0071815,Gp150
FBtr0071816,Gp150
FBtr0071813,Gp150
FBtr0342986,Gp150
FBtr0071814,Gp150
FBtr0083049,CG4210
FBtr0079593,CG8353
FBtr0332415,CG8353
FBtr0340713,CR44558
FBtr0345640,LeuRS
FBtr0077562,LeuRS
FBtr0085387,CG11897
FBtr0085386,CG11897
FBtr0085614,CecA2
FBtr0303924,d
FBtr0303923,d
FBtr0300811,CG17209
FBtr0309586,mir-4975
FBtr0343230,CR44785
FBtr0340626,unc-4
FBtr0340627,unc-4
FBtr0340628,unc-4
FBtr0343711,CR44857
FBtr0087784,AspRS
FBtr0332882,AspRS
FBtr0339391,AspRS
FBtr0084095,CG16791
FBtr0343807,CG16791
FBtr0343805,CG16791
FBtr0343806,CG16791
FBtr0086801,CG14490
FBtr0344145,hth
FBtr0100454,hth
FBtr0082255,hth
FBtr0082256,hth
FBtr0100455,hth
FBtr0088783,Nup50
FBtr0301333,CG42570
FBtr0332689,CG42570
FBtr0070097,CR18275
FBtr0086107,Bap170
FBtr0072159,CG30178
FBtr0076218,wls
FBtr0076219,wls
FBtr0113346,CG18765
FBtr0100083,CG34028
FBtr0079765,CG9568
FBtr0304495,mir-1015
FBtr0071734,PpN58A
FBtr0071191,CG17982
FBtr0345988,CG17982
FBtr0472919,hpRNA:CR32205
FBtr0472918,hpRNA:CR32205
FBtr0075000,hpRNA:CR32205
FBtr0071902,asrij
FBtr0332909,asrij
FBtr0078892,eIF3f1
FBtr0073061,Drsl4
FBtr0081973,CG8420
FBtr0333190,CG8420
FBtr0072990,CG16753
FBtr0076205,Mocs1
FBtr0076204,Mocs1
FBtr0081487,Atg18b
FBtr0331678,Atg18b
FBtr0086674,GstE6
FBtr0113686,klhl10
FBtr0113685,klhl10
FBtr0347437,CR46169
FBtr0072069,apt
FBtr0072067,apt
FBtr0072070,apt
FBtr0332926,apt
FBtr0072068,apt
FBtr0072066,apt
FBtr0087059,ste24a
FBtr0088087,tRNA:Arg-TCT-1-1
FBtr0074966,l(3)76BDm
FBtr0333896,l(3)76BDm
FBtr0302288,Ir60d
FBtr0330250,CR43735
FBtr0086613,CG15080
FBtr0091795,CG33791
FBtr0300891,CG33791
